 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่ 31 มกราคม 2561 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 รวมทั้งสิ้น ," 38,428,304 "," 9,820,987 "," 28,607,317 "," 2,241,233 "," 172,697 "," 137,413 "," 419,254 "," 152,411 "," 428,219 "," 442,104 "," 153,597 "," 185,758 "," 149,780 "," 3,759,838 "," 127,054 "," 264,623 "," 395,973 "," 1,509,221 "," 717,699 "," 379,284 "," 132,296 "," 233,688 "," 8,239,522 ", -   ," 370,274 "," 206,179 "," 720,662 "," 401,455 "," 501,150 "," 1,329,702 "," 455,335 "," 123,561 "," 158,005 "," 114,602 "," 214,512 "," 268,408 "," 670,851 "," 216,076 "," 469,717 "," 842,039 "," 288,567 "," 331,345 "," 398,375 "," 158,707 "," 6,816,886 "," 720,944 "," 62,659 "," 1,413,188 "," 267,581 "," 231,267 "," 275,760 "," 455,764 "," 255,568 "," 259,080 "," 311,952 "," 228,029 "," 495,336 "," 357,019 "," 288,872 "," 453,257 "," 563,103 "," 177,507 "," 2,830,050 "," 486,648 "," 401,135 "," 477,017 "," 498,947 "," 235,645 "," 72,741 "," 324,959 "," 332,958 "," 4,719,788 "," 293,152 "," 88,882 "," 609,902 "," 123,590 "," 616,855 "," 248,042 "," 471,712 "," 246,015 "," 347,310 "," 819,672 "," 132,281 "," 224,091 "," 269,299 "," 228,985 "
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ," 37,177,756 "," 9,636,365 "," 27,541,391 "," 2,075,871 "," 164,512 "," 132,121 "," 402,973 "," 146,513 "," 395,904 "," 417,843 "," 132,141 "," 167,044 "," 116,820 "," 3,617,420 "," 122,788 "," 253,078 "," 372,541 "," 1,455,299 "," 691,779 "," 370,515 "," 128,426 "," 222,994 "," 7,938,552 ", -   ," 349,992 "," 199,903 "," 700,440 "," 387,845 "," 480,969 "," 1,272,319 "," 437,535 "," 120,163 "," 149,537 "," 111,218 "," 208,585 "," 256,932 "," 647,883 "," 211,012 "," 460,374 "," 812,191 "," 275,506 "," 318,564 "," 383,693 "," 153,891 "," 6,628,276 "," 704,689 "," 61,502 "," 1,388,197 "," 260,313 "," 225,206 "," 271,131 "," 446,092 "," 249,346 "," 252,748 "," 301,142 "," 220,589 "," 480,942 "," 339,094 "," 279,382 "," 439,154 "," 537,911 "," 170,838 "," 2,685,480 "," 458,820 "," 382,255 "," 438,329 "," 480,354 "," 221,094 "," 69,263 "," 313,895 "," 321,470 "," 4,595,792 "," 285,852 "," 85,257 "," 590,128 "," 119,302 "," 601,219 "," 240,965 "," 459,536 "," 239,572 "," 339,816 "," 794,145 "," 129,619 "," 220,105 "," 264,660 "," 225,616 "
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.) ," 8,796,543 "," 4,264,010 "," 4,532,533 "," 413,888 "," 25,198 "," 21,853 "," 73,796 "," 26,678 "," 73,245 "," 84,894 "," 29,378 "," 63,241 "," 15,605 "," 665,292 "," 22,680 "," 44,729 "," 61,207 "," 278,762 "," 149,583 "," 65,002 "," 14,728 "," 28,601 "," 1,156,194 ",," 36,978 "," 25,002 "," 107,953 "," 40,706 "," 49,454 "," 226,569 "," 47,954 "," 13,493 "," 17,819 "," 12,357 "," 28,498 "," 35,504 "," 105,568 "," 21,934 "," 54,383 "," 176,493 "," 37,538 "," 41,528 "," 53,582 "," 22,881 "," 1,066,215 "," 111,967 "," 2,627 "," 318,438 "," 34,305 "," 28,394 "," 30,706 "," 78,045 "," 36,996 "," 33,572 "," 34,580 "," 26,525 "," 100,665 "," 42,829 "," 28,288 "," 47,160 "," 86,427 "," 24,691 "," 366,057 "," 57,318 "," 60,164 "," 73,044 "," 66,678 "," 8,059 "," 9,099 "," 50,420 "," 41,275 "," 864,887 "," 38,043 "," 11,622 "," 118,368 "," 14,068 "," 106,015 "," 49,694 "," 113,841 "," 35,939 "," 54,686 "," 219,703 "," 17,203 "," 27,331 "," 36,171 "," 22,203 "
     รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van ," 424,922 "," 214,218 "," 210,704 "," 28,120 "," 1,202 "," 1,280 "," 3,723 "," 1,364 "," 3,440 "," 4,681 "," 3,706 "," 5,866 "," 2,858 "," 28,365 "," 1,410 "," 2,623 "," 3,616 "," 10,113 "," 5,176 "," 2,749 ", 920 ," 1,758 "," 58,186 ",," 2,666 "," 1,670 "," 4,739 "," 3,140 "," 3,188 "," 9,371 "," 3,349 ", 903 , 845 , 599 ," 1,616 "," 1,822 "," 4,936 "," 1,471 "," 3,344 "," 6,268 "," 2,555 "," 2,142 "," 2,533 "," 1,029 "," 48,797 "," 5,514 ", 532 ," 12,033 "," 1,571 "," 1,335 "," 2,264 "," 4,079 "," 1,536 "," 1,883 "," 2,238 "," 1,852 "," 3,663 "," 1,836 "," 1,711 "," 2,211 "," 3,492 "," 1,047 "," 19,057 "," 3,480 "," 2,782 "," 3,685 "," 3,305 ", 975 , 657 ," 2,361 "," 1,812 "," 28,179 "," 1,346 ", 600 ," 3,707 ", 776 ," 3,442 "," 1,789 "," 3,128 "," 1,122 "," 1,445 "," 5,849 ", 786 ," 1,504 "," 1,421 "," 1,264 "
     รย. 3 รถยนต์บรรทุกส่วนบุคคล Van & Pick Up ," 6,451,730 "," 1,325,845 "," 5,125,885 "," 392,095 "," 32,567 "," 22,459 "," 76,027 "," 29,834 "," 71,638 "," 72,835 "," 30,218 "," 39,766 "," 16,751 "," 623,197 "," 24,384 "," 51,720 "," 70,920 "," 191,999 "," 122,852 "," 88,388 "," 23,789 "," 49,145 "," 1,587,511 ",," 66,975 "," 43,784 "," 139,482 "," 85,613 "," 83,736 "," 237,158 "," 76,367 "," 25,373 "," 37,636 "," 20,490 "," 38,298 "," 64,220 "," 121,338 "," 32,892 "," 85,616 "," 181,391 "," 70,002 "," 65,338 "," 80,152 "," 31,650 "," 1,261,739 "," 135,060 "," 7,488 "," 242,864 "," 51,059 "," 49,536 "," 60,864 "," 88,985 "," 50,557 "," 43,471 "," 55,102 "," 41,411 "," 87,443 "," 68,803 "," 49,094 "," 96,906 "," 98,755 "," 34,341 "," 498,445 "," 94,645 "," 75,811 "," 99,333 "," 83,660 "," 11,416 "," 12,633 "," 57,041 "," 63,906 "," 762,898 "," 76,791 "," 15,883 "," 120,452 "," 17,864 "," 111,612 "," 52,586 "," 43,095 "," 39,758 "," 54,553 "," 126,499 "," 15,972 "," 31,963 "," 33,357 "," 22,513 "
     รย. 4 รถยนต์สามล้อส่วนบุคคล Motortricycle ," 1,594 ", 843 , 751 , 345 , -   , -   , 6 , -   , 2 , 7 , 4 , 306 , 20 , 41 , -   , -   , 2 , 28 , 2 , 7 , 2 , -   , 44 ,, 1 , -   , 16 , -   , 1 , 13 , -   , -   , -   , -   , -   , 1 , 6 , 1 , -   , 2 , -   , -   , 1 , 2 , 166 , 5 , -   , 58 , 18 , -   , 2 , 3 , 2 , 4 , 1 , 3 , 53 , 1 , 3 , 9 , 4 , -   , 31 , 4 , 3 , 10 , 1 , 3 , 1 , 6 , 3 , 124 , 2 , 1 , 6 , 1 , 10 , 7 , 6 , 3 , 56 , 27 , 2 , 2 , 1 , -   
     รย. 5 รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi ," 81,970 "," 77,867 "," 4,103 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 694 , -   , -   , -   , 667 , 22 , 5 , -   , -   ," 1,363 ",, -   , -   , 505 , 64 , 25 , 144 , 10 , -   , -   , -   , 12 , 24 , 63 , 11 , 17 , 408 , 6 , 46 , 13 , 15 , 916 , 255 , -   , 384 , -   , 10 , -   , 11 , -   , 8 , 1 , 50 , 194 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,130 ", -   , -   , 574 , -   , 62 , 24 , 363 , -   , -   , 104 , -   , -   , 3 , -   
                 - บุคคลธรรมดา," 18,758 "," 18,016 ", 742 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , 16 , -   , 4 , -   , -   , 110 ,, -   , -   , 46 , 1 , 4 , 7 , -   , -   , -   , -   , 8 , -   , 16 , -   , -   , 27 , -   , -   , 1 , -   , 185 , 35 , -   , 138 , -   , -   , -   , 5 , -   , 5 , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 427 , -   , -   , 210 , -   , 2 , -   , 211 , -   , -   , 2 , -   , -   , 2 , -   
                 - นิติบุคคล," 62,623 "," 59,271 "," 3,352 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 673 , -   , -   , -   , 651 , 22 , -   , -   , -   ," 1,253 ",, -   , -   , 459 , 63 , 21 , 137 , 10 , -   , -   , -   , 4 , 24 , 47 , 11 , 17 , 381 , 6 , 46 , 12 , 15 , 726 , 219 , -   , 246 , -   , 10 , -   , 6 , -   , -   , -   , 50 , 192 , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 700 , -   , -   , 364 , -   , 59 , 23 , 152 , -   , -   , 102 , -   , -   , -   , -   
                 - ไม่ระบุ, 589 , 580 , 9 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 1 , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , 1 , -   
     รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi ," 2,684 "," 2,168 ", 516 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 516 , -   , -   , -   , -   , -   , -   , 516 , -   , -   , -   , -   , -   , -   , -   
     รย. 8 รถยนต์รับจ้างสามล้อ Motortricycle Taxi (Tuk Tuk) ," 20,199 "," 9,332 "," 10,867 "," 3,810 ", 14 , 1 , -   , 37 , 12 ," 1,300 ", -   ," 1,682 ", 764 ," 2,642 ", 1 , 498 , 984 , 866 , 1 , 53 , 25 , 214 ," 1,767 ",, 55 , -   , 348 , -   , 43 , 765 , 14 , 1 , -   , -   , 3 , 1 , 1 , 28 , -   , 502 , 1 , -   , 5 , -   ," 1,658 ", 192 , 14 ," 1,149 ", 4 , -   , 1 , -   , -   , 4 , 4 , 51 , 120 , -   , 23 , 55 , 41 , -   , 786 , 100 , 13 , 87 , 99 , 226 , 170 , 14 , 77 , 204 , -   , -   , -   , -   , -   , -   , -   , -   , 201 , -   , -   , -   , 3 , -   
     รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi ," 4,393 ", 664 ," 3,729 ", 41 , -   , -   , -   , -   , -   , -   , -   , 39 , 2 , 12 , -   , -   , -   , 7 , 4 , -   , 1 , -   , 71 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 50 , 2 , -   , 8 , -   , -   , -   , -   , 269 , 60 , -   , 209 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 189 , -   , -   , -   , -   , -   , -   , -   , 189 ," 3,147 ", -   , -   , 202 , 318 , 27 , 113 ," 2,458 ", -   , 2 , 26 , -   , 1 , -   , -   
     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ," 4,948 "," 1,628 "," 3,320 ", 9 , -   , -   , -   , -   , -   , -   , -   , 1 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,305 ", -   , -   , 21 , 54 , -   , 592 ," 2,631 ", -   , 7 , -   , -   , -   , -   , -   
     รย.11 รถยนต์บริการให้เช่า Car For Hire , 74 , 56 , 18 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , -   , -   , 3 , 1 , -   , -   , -   , -   , 9 , -   , -   , -   , -   , -   
     รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle ," 20,548,178 "," 3,539,708 "," 17,008,470 "," 1,152,905 "," 101,834 "," 85,197 "," 231,896 "," 87,167 "," 240,129 "," 247,639 "," 59,691 "," 46,785 "," 52,567 "," 2,253,700 "," 73,232 "," 150,526 "," 231,500 "," 954,972 "," 409,974 "," 210,532 "," 88,558 "," 134,406 "," 4,847,019 ",," 210,119 "," 124,062 "," 427,868 "," 245,367 "," 329,117 "," 713,615 "," 297,283 "," 76,865 "," 87,102 "," 75,642 "," 135,335 "," 146,578 "," 397,932 "," 150,497 "," 307,532 "," 433,511 "," 156,068 "," 200,891 "," 235,571 "," 96,064 "," 4,085,903 "," 441,518 "," 50,552 "," 807,489 "," 169,191 "," 142,525 "," 176,062 "," 273,329 "," 157,411 "," 154,384 "," 195,520 "," 145,855 "," 271,911 "," 210,614 "," 191,261 "," 269,211 "," 324,412 "," 104,658 "," 1,766,167 "," 295,819 "," 236,618 "," 256,123 "," 323,907 "," 195,471 "," 45,672 "," 201,418 "," 211,139 "," 2,902,776 "," 167,611 "," 56,454 "," 341,510 "," 85,604 "," 375,387 "," 135,322 "," 291,208 "," 160,664 "," 226,899 "," 437,142 "," 95,100 "," 158,307 "," 193,208 "," 178,360 "
     รย.13 รถแทรกเตอร์ Tractor ," 520,426 "," 94,248 "," 426,178 "," 40,066 "," 3,443 "," 1,129 "," 16,041 ", 852 ," 5,343 "," 1,700 ", 324 ," 1,114 "," 10,120 "," 24,399 ", 616 ," 2,473 "," 2,253 "," 4,836 "," 2,573 "," 3,089 ", 169 ," 8,390 "," 203,766 ",," 14,606 "," 4,398 "," 18,832 "," 12,199 "," 12,496 "," 35,753 "," 10,929 "," 3,412 "," 5,710 "," 2,120 "," 4,510 "," 8,471 "," 16,376 "," 4,084 "," 9,192 "," 12,151 "," 8,868 "," 7,762 "," 9,714 "," 2,183 "," 122,616 "," 8,265 ", 154 ," 4,575 "," 3,934 "," 3,167 "," 1,037 "," 1,221 "," 2,527 "," 5,988 "," 10,109 "," 3,450 "," 9,686 "," 13,963 "," 6,199 "," 20,896 "," 21,858 "," 5,587 "," 19,029 "," 6,646 "," 5,925 "," 1,467 "," 1,161 ", 192 , 90 ," 1,455 "," 2,093 "," 16,302 "," 1,437 ", 157 ," 4,519 ", 194 ," 3,171 ", 384 , 466 ," 1,370 ", 801 ," 2,563 ", 203 , 315 , 336 , 386 
     รย.14 รถบดถนน Road Roller ," 14,127 "," 3,836 "," 10,291 ", 808 , 42 , 50 , 149 , 65 , 147 , 88 , 52 , 160 , 55 ," 1,065 ", 49 , 171 , 91 , 313 , 135 , 147 , 27 , 132 ," 3,036 ",, 114 , 122 , 249 , 197 , 470 , 400 , 256 , 24 , 114 , 8 , 28 , 123 , 165 , 34 , 127 , 242 , 123 , 81 , 102 , 57 ," 2,529 ", 259 , 16 , 434 , 70 , 95 , 57 , 133 , 116 , 112 , 172 , 86 , 216 , 131 , 178 , 217 , 184 , 53 ," 1,210 ", 266 , 93 , 164 , 422 , 25 , 45 , 98 , 97 ," 1,643 ", 129 , 48 , 328 , 44 , 131 , 50 , 21 , 70 , 101 , 308 , 47 , 114 , 117 , 135 
     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ," 107,721 ", 7 ," 107,714 ", 993 , 80 , -   , 235 , -   , 135 , 535 , 7 , 1 , -   , 287 , 70 , 21 , 114 , 12 , 10 , 7 , 1 , 52 ," 73,418 ",," 18,391 ", 709 , 203 , 248 ," 1,773 "," 45,544 ", 424 , 20 , 284 , -   , 258 , 174 ," 1,360 ", 55 , 60 , 975 , 313 , 667 ," 1,952 ", 8 ," 32,521 ", 953 , 3 , 34 , 43 , 6 , 30 , 125 , 121 ," 13,207 "," 3,276 ", 19 ," 6,719 ", 789 ," 2,469 "," 2,225 "," 2,157 ", 345 , 449 , 38 , 27 , 5 , 8 , -   , 4 , 336 , 31 , 46 , 3 , 1 , 3 , 1 , 6 , 3 , -   , -   , 3 , 4 , -   , -   , 2 , 20 
